Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Alaa Abdelnaby,1.3,2.7,0.474,0.0,0.0,0.0,1.3,2.7,0.474,0.474,0.6,1.0,0.568,3.1,1991,0.0,1991-01-01
Danny Ainge,4.2,8.9,0.472,1.3,3.1,0.406,2.9,5.8,0.508,0.543,1.4,1.7,0.826,11.1,1991,0.0,1991-01-01
Mark Bryant,1.9,3.8,0.488,0.0,0.0,0.0,1.9,3.8,0.49,0.488,1.4,1.9,0.733,5.1,1991,0.0,1991-01-01
Wayne Cooper,0.9,2.2,0.393,0.0,0.0,0.0,0.9,2.1,0.396,0.393,0.5,0.6,0.786,2.2,1991,0.0,1991-01-01
Walter Davis,5.7,12.1,0.468,0.2,0.5,0.306,5.5,11.6,0.475,0.474,1.5,1.6,0.915,13.0,1991,0.0,1991-01-01
Clyde Drexler,7.9,16.3,0.482,0.7,2.3,0.319,7.1,14.0,0.509,0.505,5.1,6.4,0.794,21.5,1991,75.0,1991-01-01
Kevin Duckworth,6.4,13.4,0.481,0.0,0.0,0.0,6.4,13.4,0.482,0.481,3.0,3.8,0.772,15.8,1991,0.0,1991-01-01
Jerome Kersey,5.8,12.2,0.478,0.1,0.2,0.308,5.8,12.0,0.481,0.48,3.2,4.5,0.709,14.8,1991,0.0,1991-01-01
Terry Porter,6.0,11.7,0.515,1.6,3.9,0.415,4.4,7.8,0.564,0.584,3.4,4.2,0.823,17.0,1991,25.0,1991-01-01
Clifford Robinson,4.5,9.8,0.463,0.1,0.2,0.316,4.5,9.6,0.466,0.467,2.5,3.8,0.653,11.7,1991,0.0,1991-01-01
Buck Williams,4.5,7.4,0.602,0.0,0.0,0.0,4.5,7.4,0.602,0.602,2.7,3.9,0.705,11.7,1991,0.0,1991-01-01
Danny Young,1.4,3.6,0.38,0.5,1.4,0.346,0.9,2.2,0.401,0.446,0.5,0.6,0.911,3.8,1991,0.0,1991-01-01
Alaa Abdelnaby,2.5,5.1,0.493,0.0,0.0,0.0,2.5,5.1,0.493,0.493,1.1,1.4,0.752,6.1,1992,0.0,1992-01-01
Danny Ainge,3.7,8.3,0.442,1.0,2.8,0.339,2.7,5.5,0.496,0.5,1.3,1.6,0.824,9.7,1992,0.0,1992-01-01
Mark Bryant,1.7,3.5,0.48,0.0,0.1,0.0,1.7,3.5,0.487,0.48,0.7,1.1,0.667,4.1,1992,0.0,1992-01-01
Wayne Cooper,1.0,2.3,0.427,0.0,0.0,0.0,1.0,2.3,0.427,0.427,0.2,0.3,0.636,2.2,1992,0.0,1992-01-01
Clyde Drexler,9.1,19.4,0.47,1.5,4.4,0.337,7.6,15.0,0.51,0.509,5.3,6.6,0.794,25.0,1992,561.0,1992-01-01
Kevin Duckworth,4.4,9.6,0.461,0.0,0.0,0.0,4.4,9.5,0.462,0.461,1.9,2.8,0.69,10.7,1992,0.0,1992-01-01
Jerome Kersey,5.2,11.1,0.467,0.0,0.1,0.125,5.2,11.0,0.47,0.468,2.3,3.4,0.664,12.6,1992,0.0,1992-01-01
Robert Pack,1.6,3.8,0.423,0.0,0.1,0.0,1.6,3.6,0.439,0.423,1.4,1.8,0.803,4.6,1992,0.0,1992-01-01
Terry Porter,6.4,13.8,0.461,1.6,4.0,0.395,4.8,9.8,0.488,0.518,3.8,4.5,0.856,18.1,1992,0.0,1992-01-01
Clifford Robinson,4.9,10.4,0.466,0.0,0.1,0.091,4.8,10.3,0.471,0.467,2.7,4.0,0.664,12.4,1992,0.0,1992-01-01
Lamont Strothers,1.0,3.0,0.333,0.0,0.5,0.0,1.0,2.5,0.4,0.333,0.5,1.0,0.5,2.5,1992,0.0,1992-01-01
Ennis Whatley,0.9,2.2,0.412,0.0,0.2,0.0,0.9,2.0,0.447,0.412,1.2,1.3,0.871,3.0,1992,0.0,1992-01-01
Buck Williams,4.3,7.0,0.604,0.0,0.0,0.0,4.3,7.0,0.605,0.604,2.8,3.7,0.754,11.3,1992,0.0,1992-01-01
Alaa Abdelnaby,3.3,6.3,0.518,0.0,0.0,0.0,3.3,6.3,0.519,0.518,1.2,1.5,0.759,7.7,1993,0.0,1993-01-01
John Bagley,0.9,2.5,0.36,0.0,0.1,0.0,0.9,2.4,0.375,0.36,0.5,0.6,0.833,2.3,1993,0.0,1993-01-01
Kenny Battle,2.0,4.3,0.462,0.0,0.3,0.0,2.0,4.0,0.5,0.462,0.7,0.7,1.0,4.7,1993,0.0,1993-01-01
Dee Brown,4.1,8.8,0.468,0.3,1.0,0.317,3.8,7.7,0.488,0.486,2.4,3.0,0.793,10.9,1993,0.0,1993-01-01
Dee Brown,4.1,8.8,0.468,0.3,1.0,0.317,3.8,7.7,0.488,0.486,2.4,3.0,0.793,10.9,1993,0.0,1993-01-01
Sherman Douglas,3.3,6.7,0.498,0.1,0.4,0.207,3.3,6.3,0.515,0.504,1.1,1.9,0.56,7.8,1993,0.0,1993-01-01
Rick Fox,2.6,5.4,0.484,0.1,0.3,0.174,2.5,5.0,0.504,0.489,1.1,1.4,0.802,6.4,1993,0.0,1993-01-01
Kevin Gamble,5.6,11.0,0.507,0.6,1.7,0.374,5.0,9.4,0.531,0.535,1.5,1.8,0.826,13.3,1993,0.0,1993-01-01
Joe Kleine,1.4,3.4,0.404,0.0,0.1,0.0,1.4,3.3,0.414,0.404,0.5,0.7,0.707,3.3,1993,0.0,1993-01-01
Bart Kofoed,0.4,1.9,0.231,0.0,0.1,0.0,0.4,1.7,0.25,0.231,1.6,2.0,0.786,2.4,1993,0.0,1993-01-01
Reggie Lewis,8.3,17.6,0.47,0.2,0.8,0.233,8.1,16.9,0.481,0.475,4.1,4.7,0.867,20.8,1993,0.0,1993-01-01
Xavier Mcdaniel,5.6,11.3,0.495,0.1,0.3,0.273,5.5,11.0,0.5,0.498,2.3,2.9,0.793,13.5,1993,0.0,1993-01-01
Kevin Mchale,4.2,9.1,0.459,0.0,0.3,0.111,4.2,8.9,0.469,0.461,2.3,2.7,0.841,10.7,1993,0.0,1993-01-01
Robert Parish,5.3,9.8,0.535,0.0,0.0,0.0,5.3,9.8,0.535,0.535,2.1,3.0,0.689,12.6,1993,0.0,1993-01-01
Ed Pinckney,1.4,3.4,0.417,0.0,0.0,0.0,1.4,3.4,0.417,0.417,1.7,1.9,0.923,4.6,1993,0.0,1993-01-01
Marcus Webb,1.4,2.8,0.52,0.0,0.1,0.0,1.4,2.7,0.542,0.52,1.4,2.3,0.619,4.3,1993,0.0,1993-01-01
Lorenzo Williams,0.6,1.3,0.472,0.0,0.0,0.0,0.6,1.3,0.472,0.472,0.1,0.3,0.286,1.3,1993,0.0,1993-01-01
Alaa Abdelnaby,1.8,4.2,0.436,0.0,0.0,0.0,1.8,4.2,0.436,0.436,1.2,1.9,0.64,4.9,1994,0.0,1994-01-01
Dee Brown,6.4,13.3,0.48,0.4,1.2,0.313,6.0,12.0,0.497,0.495,2.4,2.8,0.831,15.5,1994,0.0,1994-01-01
Dee Brown,6.4,13.3,0.48,0.4,1.2,0.313,6.0,12.0,0.497,0.495,2.4,2.8,0.831,15.5,1994,0.0,1994-01-01
Chris Corchiani,0.8,1.8,0.426,0.2,0.7,0.289,0.6,1.1,0.518,0.484,0.5,0.7,0.684,2.3,1994,0.0,1994-01-01
Sherman Douglas,5.4,11.8,0.462,0.2,0.7,0.232,5.3,11.1,0.477,0.47,2.3,3.5,0.641,13.3,1994,0.0,1994-01-01
Acie Earl,2.0,5.0,0.406,0.0,0.0,0.0,2.0,5.0,0.407,0.406,1.5,2.2,0.675,5.5,1994,0.0,1994-01-01
Rick Fox,4.1,8.9,0.467,0.4,1.2,0.33,3.7,7.7,0.489,0.49,2.1,2.8,0.757,10.8,1994,0.0,1994-01-01
Kevin Gamble,4.9,10.7,0.458,0.3,1.4,0.243,4.6,9.3,0.489,0.473,1.4,1.7,0.817,11.5,1994,0.0,1994-01-01
Tony Harris,1.8,6.2,0.29,0.6,1.8,0.333,1.2,4.4,0.273,0.339,4.6,5.0,0.92,8.8,1994,0.0,1994-01-01
Todd Lichti,1.5,3.9,0.392,0.2,0.2,1.0,1.4,3.8,0.367,0.412,1.2,1.9,0.64,4.5,1994,0.0,1994-01-01
Xavier Mcdaniel,4.7,10.2,0.461,0.1,0.5,0.244,4.6,9.7,0.472,0.467,1.8,2.6,0.676,11.3,1994,0.0,1994-01-01
Jimmy Oliver,2.0,4.9,0.416,0.3,0.7,0.406,1.7,4.1,0.418,0.446,0.6,0.8,0.758,4.9,1994,0.0,1994-01-01
Robert Parish,4.8,9.8,0.491,0.0,0.0,0.0,4.8,9.8,0.491,0.491,2.1,2.8,0.74,11.7,1994,0.0,1994-01-01
Ed Pinckney,2.0,3.8,0.522,0.0,0.0,0.0,2.0,3.8,0.522,0.522,1.2,1.6,0.736,5.2,1994,0.0,1994-01-01
Dino Radja,6.1,11.8,0.521,0.0,0.0,0.0,6.1,11.8,0.522,0.521,2.8,3.8,0.751,15.1,1994,0.0,1994-01-01
Matt Wenstrom,0.5,0.9,0.6,0.0,0.0,0.0,0.5,0.9,0.6,0.6,0.5,0.9,0.6,1.6,1994,0.0,1994-01-01
Alaa Abdelnaby,2.2,4.3,0.511,0.0,0.0,0.0,2.2,4.2,0.515,0.511,0.4,0.6,0.571,4.7,1995,0.0,1995-01-01
Derrick Alston,1.9,4.0,0.465,0.0,0.1,0.0,1.9,4.0,0.472,0.465,0.9,1.9,0.492,4.7,1995,0.0,1995-01-01
