Player,FG%,3P%,2P%,eFG%,FT%,PTS,Year,season_date
Jackie Robinson,0.529,0.0,0.563,0.529,0.818,3.9,1980,1980-01-01
Al Skinner,0.5,0.0,0.5,0.5,0.0,1.0,1980,1980-01-01
Jim Spanarkel,0.471,0.0,0.477,0.471,0.831,5.0,1980,1980-01-01
Bernard Toone,0.359,0.143,0.386,0.367,0.8,2.4,1980,1980-01-01
Gus Williams,0.482,0.194,0.489,0.484,0.788,22.1,1980,1980-01-01
Wally Walker,0.507,0.0,0.507,0.507,0.75,4.7,1980,1980-01-01
Paul Silas,0.378,0.0,0.378,0.378,0.654,3.8,1980,1980-01-01
Jack Sikma,0.475,0.0,0.476,0.475,0.805,14.3,1980,1980-01-01
Lonnie Shelton,0.53,0.2,0.532,0.531,0.763,13.6,1980,1980-01-01
Tom Lagarde,0.477,0.0,0.477,0.477,0.657,4.7,1980,1980-01-01
Vinnie Johnson,0.391,0.0,0.395,0.391,0.795,3.2,1980,1980-01-01
John Johnson,0.488,0.0,0.488,0.488,0.801,11.3,1980,1980-01-01
Dennis Johnson,0.422,0.207,0.431,0.426,0.78,19.0,1980,1980-01-01
Fred Brown,0.479,0.443,0.483,0.502,0.837,12.0,1980,1980-01-01
James Bailey,0.45,0.0,0.45,0.45,0.673,4.7,1980,1980-01-01
Larry Wright,0.458,0.25,0.465,0.462,0.889,7.3,1980,1980-01-01
John Williamson,0.439,0.314,0.445,0.446,0.841,14.6,1980,1980-01-01
Wes Unseld,0.513,0.5,0.513,0.514,0.665,9.7,1980,1980-01-01
Kevin Porter,0.459,0.0,0.463,0.459,0.803,7.3,1980,1980-01-01
Mitch Kupchak,0.419,0.0,0.424,0.419,0.693,4.7,1980,1980-01-01
Clint Richardson,0.457,0.333,0.458,0.458,0.622,6.7,1980,1980-01-01
Elvin Hayes,0.454,0.231,0.456,0.455,0.699,23.0,1980,1980-01-01
Steve Mix,0.516,0.4,0.518,0.519,0.831,11.6,1980,1980-01-01
Bobby Jones,0.532,0.0,0.534,0.532,0.781,13.0,1980,1980-01-01
Raymond Townsend,0.406,0.154,0.423,0.411,0.714,5.4,1980,1980-01-01
Jo Jo White,0.476,0.167,0.479,0.477,0.851,9.9,1980,1980-01-01
Bubba Wilson,0.28,0.0,0.28,0.28,0.5,1.1,1980,1980-01-01
Micheal Ray Richardson,0.472,0.245,0.498,0.485,0.66,15.3,1980,1980-01-01
Earl Monroe,0.457,0.0,0.457,0.457,0.875,7.4,1980,1980-01-01
Joe Meriweather,0.528,0.0,0.529,0.528,0.645,9.0,1980,1980-01-01
Toby Knight,0.529,0.0,0.53,0.529,0.808,19.1,1980,1980-01-01
Geoff Huston,0.39,0.176,0.406,0.396,0.737,3.1,1980,1980-01-01
Mike Glenn,0.516,0.2,0.525,0.519,0.863,5.9,1980,1980-01-01
Larry Demic,0.436,0.0,0.436,0.436,0.601,7.0,1980,1980-01-01
Hollis Copeland,0.495,0.0,0.497,0.495,0.733,5.7,1980,1980-01-01
Bill Cartwright,0.547,0.0,0.547,0.547,0.797,21.7,1980,1980-01-01
Henry Bibby,0.401,0.212,0.418,0.41,0.79,9.0,1980,1980-01-01
Maurice Cheeks,0.54,0.444,0.541,0.543,0.779,11.4,1980,1980-01-01
Doug Collins,0.466,0.0,0.467,0.466,0.911,13.8,1980,1980-01-01
Darryl Dawkins,0.522,0.0,0.526,0.522,0.653,14.7,1980,1980-01-01
Julius Erving,0.519,0.2,0.523,0.52,0.787,26.9,1980,1980-01-01
Lionel Hollins,0.403,0.15,0.413,0.406,0.721,11.2,1980,1980-01-01
Bobby Jones,0.532,0.0,0.534,0.532,0.781,13.0,1980,1980-01-01
Caldwell Jones,0.436,0.0,0.438,0.436,0.697,7.4,1980,1980-01-01
Phil Smith,0.474,0.318,0.48,0.48,0.789,15.5,1980,1980-01-01
Kevin Grevey,0.412,0.37,0.417,0.433,0.867,14.0,1980,1980-01-01
Dave Corzine,0.417,0.0,0.417,0.417,0.662,2.9,1980,1980-01-01
Mike Green,0.434,0.0,0.439,0.434,0.571,7.7,1980,1980-01-01
Ernie Grunfeld,0.443,0.5,0.443,0.444,0.771,5.9,1980,1980-01-01
Reggie King,0.515,0.0,0.516,0.515,0.726,8.2,1980,1980-01-01
Sam Lacey,0.448,0.0,0.448,0.448,0.741,9.2,1980,1980-01-01
Billy Mckinney,0.449,0.1,0.457,0.45,0.805,6.8,1980,1980-01-01
Marlon Redmond,0.428,0.0,0.457,0.428,0.706,5.9,1980,1980-01-01
Bill Robinzine,0.501,0.5,0.501,0.501,0.73,11.4,1980,1980-01-01
Scott Wedman,0.512,0.318,0.516,0.515,0.801,19.0,1980,1980-01-01
Gus Bailey,0.457,1.0,0.441,0.471,0.385,1.9,1980,1980-01-01
Ron Boone,0.443,0.38,0.446,0.453,0.893,12.4,1980,1980-01-01
Tom Boswell,0.564,0.5,0.566,0.569,0.755,11.4,1980,1980-01-01
Allan Bristow,0.48,0.286,0.482,0.482,0.811,11.6,1980,1980-01-01
Mack Calvin,0.441,0.091,0.458,0.443,0.897,6.4,1980,1980-01-01
Adrian Dantley,0.576,0.0,0.577,0.576,0.842,28.0,1980,1980-01-01
Brad Davis,0.556,0.0,0.565,0.556,0.813,4.6,1980,1980-01-01
Paul Dawkins,0.47,0.2,0.475,0.472,0.688,5.5,1980,1980-01-01
Greg Deane,0.182,1.0,0.1,0.227,0.714,1.4,1980,1980-01-01
Terry Furlow,0.464,0.293,0.481,0.477,0.872,13.9,1980,1980-01-01
John Gianelli,0.348,0.0,0.348,0.348,0.563,3.2,1980,1980-01-01
Gus Gerard,0.457,0.333,0.458,0.458,0.66,5.3,1980,1980-01-01
Bob Dandridge,0.451,0.182,0.455,0.453,0.809,17.4,1980,1980-01-01
Austin Carr,0.465,0.333,0.466,0.466,0.738,11.8,1980,1980-01-01
Don Ford,0.478,0.333,0.48,0.48,0.849,4.2,1980,1980-01-01
Jim Cleamons,0.476,0.226,0.494,0.483,0.743,6.6,1980,1980-01-01
Lawrence Boston,0.462,0.0,0.462,0.462,0.615,4.3,1980,1980-01-01
Ron Behagen,0.391,0.0,0.391,0.391,0.833,3.8,1980,1980-01-01
Greg Ballard,0.495,0.34,0.502,0.502,0.753,15.6,1980,1980-01-01
Otis Birdsong,0.505,0.278,0.511,0.508,0.694,22.7,1980,1980-01-01
Sylvester Norris,0.419,0.0,0.419,0.419,0.667,2.4,1980,1980-01-01
Terry Crosby,0.5,0.0,0.5,0.5,1.0,1.5,1980,1980-01-01
Len Elmore,0.43,0.0,0.43,0.43,0.689,4.5,1980,1980-01-01
Phil Ford,0.462,0.174,0.469,0.464,0.818,16.2,1980,1980-01-01
Bill Willoughby,0.479,0.111,0.487,0.48,0.756,6.9,1980,1980-01-01
Foots Walker,0.454,0.111,0.46,0.455,0.802,9.4,1980,1980-01-01
Earl Tatum,0.383,0.333,0.386,0.394,0.579,2.6,1980,1980-01-01
Willie Smith,0.384,0.239,0.426,0.411,0.769,4.8,1980,1980-01-01
Randy Smith,0.452,0.189,0.463,0.456,0.823,17.6,1980,1980-01-01
Campy Russell,0.451,0.111,0.456,0.452,0.745,18.2,1980,1980-01-01
Dave Robisch,0.52,0.0,0.522,0.52,0.842,15.3,1980,1980-01-01
Mike Mitchell,0.523,0.0,0.525,0.523,0.787,22.2,1980,1980-01-01
John Lambert,0.413,0.0,0.416,0.413,0.723,5.4,1980,1980-01-01
Walt Frazier,0.364,0.0,0.4,0.364,1.0,3.3,1980,1980-01-01
Kenny Carr,0.492,0.0,0.495,0.492,0.658,11.8,1980,1980-01-01
Purvis Short,0.503,0.0,0.507,0.503,0.812,17.0,1980,1980-01-01
Clifford Ray,0.53,0.0,0.533,0.53,0.564,6.0,1980,1980-01-01
Sonny Parker,0.489,0.0,0.49,0.489,0.785,14.7,1980,1980-01-01
Nick Weatherspoon,0.434,0.0,0.434,0.434,0.692,6.9,1980,1980-01-01
Bill Walton,0.503,0.0,0.503,0.503,0.593,13.9,1980,1980-01-01
Brian Taylor,0.467,0.377,0.5,0.517,0.802,13.5,1980,1980-01-01
Bingo Smith,0.432,0.284,0.447,0.445,0.87,11.4,1980,1980-01-01
Stan Pietkiewicz,0.508,0.25,0.573,0.534,0.804,4.6,1980,1980-01-01
John Olive,0.0,0.0,0.0,0.0,0.0,0.0,1980,1980-01-01
Swen Nater,0.554,0.0,0.556,0.554,0.718,13.4,1980,1980-01-01
World B. Free,0.474,0.36,0.476,0.477,0.753,30.2,1980,1980-01-01
Bob Carrington,0.405,0.0,0.429,0.405,0.75,3.6,1980,1980-01-01
Joe Bryant,0.431,0.147,0.446,0.435,0.742,9.3,1980,1980-01-01
Marvin Barnes,0.4,0.0,0.4,0.4,0.5,3.2,1980,1980-01-01
Mark Olberding,0.478,0.0,0.48,0.478,0.795,10.6,1980,1980-01-01
Wiley Peck,0.432,0.0,0.437,0.432,0.618,3.5,1980,1980-01-01
Kevin Restani,0.508,0.172,0.521,0.511,0.814,10.7,1980,1980-01-01
John Shumate,0.528,0.0,0.529,0.528,0.764,8.9,1980,1980-01-01
James Silas,0.514,0.0,0.516,0.514,0.887,17.7,1980,1980-01-01
Billy Ray Bates,0.493,0.421,0.504,0.521,0.718,11.3,1980,1980-01-01
Jim Brewer,0.489,0.0,0.503,0.489,0.483,2.9,1980,1980-01-01
Ron Brewer,0.464,0.188,0.471,0.466,0.84,15.7,1980,1980-01-01
Sidney Wicks,0.423,0.0,0.424,0.423,0.546,7.1,1980,1980-01-01
T.R. Dunn,0.436,0.0,0.438,0.436,0.757,6.9,1980,1980-01-01
Freeman Williams,0.48,0.328,0.496,0.496,0.815,18.6,1980,1980-01-01
Alonzo Bradley,0.354,1.0,0.34,0.365,0.667,1.9,1980,1980-01-01
Irv Kiffin,0.333,0.0,0.333,0.333,0.72,3.2,1980,1980-01-01
Larry Kenon,0.485,0.111,0.488,0.486,0.783,20.1,1980,1980-01-01
Paul Griffin,0.553,0.0,0.553,0.553,0.725,6.3,1980,1980-01-01
George Gervin,0.528,0.314,0.54,0.536,0.852,33.1,1980,1980-01-01
Mike Gale,0.454,0.154,0.464,0.456,0.808,6.6,1980,1980-01-01
Mike Evans,0.448,0.286,0.464,0.461,0.682,6.2,1980,1980-01-01
Harry Davis,0.5,0.0,0.5,0.5,0.5,3.3,1980,1980-01-01
Tim Bassett,0.353,0.0,0.353,0.353,0.667,2.8,1980,1980-01-01
Rudy White,0.542,0.0,0.542,0.542,0.769,4.0,1980,1980-01-01
Rudy Tomjanovich,0.476,0.278,0.498,0.49,0.803,14.2,1980,1980-01-01
Robert Reid,0.487,0.0,0.488,0.487,0.736,13.0,1980,1980-01-01
Calvin Murphy,0.493,0.04,0.502,0.493,0.897,20.0,1980,1980-01-01
Paul Mokeski,0.333,0.0,0.333,0.333,0.778,2.4,1980,1980-01-01
Moses Malone,0.502,0.0,0.504,0.502,0.719,25.8,1980,1980-01-01
Allen Leavell,0.503,0.158,0.513,0.505,0.814,10.9,1980,1980-01-01
Major Jones,0.48,0.333,0.481,0.481,0.565,5.3,1980,1980-01-01
Tom Henderson,0.477,0.0,0.48,0.477,0.727,5.5,1980,1980-01-01
Mike Dunleavy,0.464,0.15,0.485,0.469,0.828,8.0,1980,1980-01-01
Mike Dunleavy,0.464,0.15,0.485,0.469,0.828,8.0,1980,1980-01-01
Rick Barry,0.422,0.33,0.458,0.469,0.935,12.0,1980,1980-01-01
Bob Gross,0.468,0.1,0.476,0.469,0.833,8.7,1980,1980-01-01
Abdul Jeelani,0.51,0.0,0.515,0.51,0.789,9.6,1980,1980-01-01
Kevin Kunnert,0.439,0.0,0.439,0.439,0.605,7.0,1980,1980-01-01
Roy Hamilton,0.401,0.0,0.404,0.401,0.687,4.6,1980,1980-01-01
Phil Hubbard,0.466,0.0,0.468,0.466,0.75,9.1,1980,1980-01-01
Greg Kelser,0.472,0.2,0.479,0.475,0.719,14.2,1980,1980-01-01
Ron Lee,0.37,0.373,0.37,0.407,0.629,4.8,1980,1980-01-01
John Long,0.505,0.083,0.51,0.506,0.825,19.4,1980,1980-01-01
Steve Malovic,0.463,0.0,0.463,0.463,0.667,2.1,1980,1980-01-01
Bob Mcadoo,0.48,0.125,0.489,0.481,0.73,21.1,1980,1980-01-01
Eric Money,0.5,0.0,0.5,0.5,0.783,10.3,1980,1980-01-01
Terry Tyler,0.465,0.167,0.469,0.466,0.765,12.3,1980,1980-01-01
Sly Williams,0.39,0.0,0.395,0.39,0.644,4.7,1980,1980-01-01
