Player,FG%,3P%,2P%,eFG%,FT%,PTS,Year,season_date
Antonio Davis,0.48,0.071,0.49,0.481,0.666,10.5,1997,1997-01-01
Erick Dampier,0.39,1.0,0.388,0.391,0.637,5.1,1997,1997-01-01
Travis Best,0.442,0.368,0.467,0.488,0.756,9.9,1997,1997-01-01
Lasalle Thompson,0.158,0.0,0.158,0.158,0.667,0.4,1997,1997-01-01
David Wesley,0.468,0.36,0.513,0.521,0.781,16.8,1997,1997-01-01
Michael Curry,0.448,0.299,0.528,0.5,0.898,3.9,1997,1997-01-01
Tracy Moore,0.388,0.256,0.524,0.453,0.71,3.7,1997,1997-01-01
Greg Dreiling,0.459,1.0,0.452,0.466,0.407,2.0,1997,1997-01-01
Derek Harper,0.444,0.341,0.48,0.488,0.742,10.0,1997,1997-01-01
Stacey King,0.5,0.0,0.5,0.5,0.286,2.2,1997,1997-01-01
Martin Müürsepp,0.412,0.167,0.467,0.427,0.629,3.7,1997,1997-01-01
Ed O'Bannon,0.333,0.257,0.359,0.366,0.886,3.7,1997,1997-01-01
Robert Pack,0.392,0.277,0.415,0.415,0.807,14.3,1997,1997-01-01
Pete Chilcutt,0.436,0.362,0.49,0.512,0.591,3.4,1997,1997-01-01
Blue Edwards,0.397,0.281,0.425,0.425,0.817,7.8,1997,1997-01-01
Eric Leckner,0.424,0.0,0.424,0.424,0.5,1.7,1997,1997-01-01
George Lynch,0.471,0.258,0.496,0.485,0.619,8.3,1997,1997-01-01
Lee Mayberry,0.403,0.376,0.443,0.515,0.63,5.1,1997,1997-01-01
Eric Mobley,0.444,0.0,0.444,0.444,0.533,2.6,1997,1997-01-01
Lawrence Moten,0.388,0.291,0.433,0.434,0.646,6.7,1997,1997-01-01
Sasha Danilović,0.435,0.36,0.488,0.51,0.801,12.5,1997,1997-01-01
Moochie Norris,0.182,0.2,0.167,0.227,0.4,1.5,1997,1997-01-01
Bryant Reeves,0.486,0.091,0.49,0.486,0.704,16.2,1997,1997-01-01
Chris Robinson,0.379,0.382,0.376,0.473,0.615,4.6,1997,1997-01-01
Roy Rogers,0.505,1.0,0.504,0.506,0.574,6.6,1997,1997-01-01
Aaron Williams,0.574,0.0,0.578,0.574,0.673,6.2,1997,1997-01-01
Bill Wennington,0.498,0.0,0.502,0.498,0.83,4.6,1997,1997-01-01
Matt Steigenga,0.25,0.0,0.5,0.25,0.5,1.5,1997,1997-01-01
Alan Henderson,0.475,0.0,0.475,0.475,0.6,6.6,1997,1997-01-01
Tyrone Corbin,0.422,0.356,0.457,0.483,0.796,9.5,1997,1997-01-01
Willie Burton,0.336,0.283,0.371,0.392,0.838,6.2,1997,1997-01-01
Donnie Boyce,0.333,0.125,0.404,0.349,0.5,2.5,1997,1997-01-01
Mookie Blaylock,0.432,0.366,0.505,0.528,0.753,17.4,1997,1997-01-01
Jon Barry,0.407,0.387,0.426,0.504,0.804,4.9,1997,1997-01-01
Derrick Alston,0.0,0.0,0.0,0.0,0.0,0.0,1997,1997-01-01
Anthony Peeler,0.398,0.373,0.41,0.461,0.82,14.5,1997,1997-01-01
Randolph Childress,0.35,0.263,0.429,0.413,0.75,1.7,1997,1997-01-01
Shawn Bradley,0.449,0.0,0.453,0.449,0.654,13.2,1997,1997-01-01
Ken Norman,0.287,0.158,0.375,0.319,0.333,3.8,1997,1997-01-01
Gheorghe Mureșan,0.604,0.0,0.604,0.604,0.618,10.6,1997,1997-01-01
Tracy Murray,0.425,0.353,0.481,0.503,0.839,10.0,1997,1997-01-01
Gaylon Nickerson,0.333,0.0,0.4,0.333,1.0,3.8,1997,1997-01-01
Rod Strickland,0.466,0.169,0.488,0.472,0.738,17.2,1997,1997-01-01
Ben Wallace,0.348,0.0,0.348,0.348,0.3,1.1,1997,1997-01-01
Chris Webber,0.518,0.397,0.535,0.543,0.565,20.1,1997,1997-01-01
